Component,MW,RD (m),hh (m),mass (kg),cost ($),model,source,note,OEM,outlier?,US market model?
blade,2,83,67,7300,,Gamesa G83,https://en.wind-turbine-models.com/turbines/773-gamesa-g83,,Gamesa,No,Yes
blade,2,87,67,6200,,Gamesa G87,https://en.wind-turbine-models.com/turbines/548-gamesa-g87,,Gamesa,No,Yes
blade,2,90,67,5800,,Gamesa G90,https://en.wind-turbine-models.com/turbines/763-gamesa-g90,,Gamesa,No,Yes
blade,1,54,60,3800,,GC China GC54,https://en.wind-turbine-models.com/turbines/2033-gc-china-gc54,,GC China,No,No
blade,1,57,60,4000,,GC China GC57,https://en.wind-turbine-models.com/turbines/2034-gc-china-gc57,,GC China,No,Yes
blade,1,59,60,4200,,GC China GC59,https://en.wind-turbine-models.com/turbines/2035-gc-china-gc59,,GC China,No,No
blade,0.225,27,30,800,,GET Danwin 225/27,https://en.wind-turbine-models.com/turbines/682-get-danwin-225-27,,GET Danwin,No,No
blade,0.225,29,30,800,,GET Danwin 225/29,https://en.wind-turbine-models.com/turbines/409-get-danwin-225-29,,GET Danwin,No,No
blade,0.6,41,50,2000,,GET Danwin 600/41,https://en.wind-turbine-models.com/turbines/414-get-danwin-600-41,,GET Danwin,No,No
blade,0.04,16,20,200,,Green Power sarl GP Yonval 40-16,https://en.wind-turbine-models.com/turbines/1067-green-power-sarl-gp-yonval-40-16,,Green Power sarl,No,No
blade,0.06,22.3,30,300,,Greenstorm GS 21 S,https://en.wind-turbine-models.com/turbines/1675-greenstorm-gs-21-s,,Greenstorm,No,No
blade,0.025,10,24,0,,H-Energiesystemen HE 1000,https://en.wind-turbine-models.com/turbines/2598-h-energiesystemen-he-1000,,H-Energiesystemen,No,No
blade,0.55,41.5,42,1500,,HAG ET550/41,https://en.wind-turbine-models.com/turbines/259-hag-et550-41,,HAG,No,No
blade,2.5,90,70,11000,,HEAG HW3/S2500(90),https://en.wind-turbine-models.com/turbines/1436-heag-hw3-s2500-90,,HEAG,No,No
blade,2.5,97,70,11200,,HEAG HW3/S2500(97),https://en.wind-turbine-models.com/turbines/1437-heag-hw3-s2500-97,,HEAG,No,No
blade,2.5,103,80,11600,,HEAG HW3/S2500(103),https://en.wind-turbine-models.com/turbines/1438-heag-hw3-s2500-103,,HEAG,No,No
blade,2.5,110,80,12500,,HEAG HW3/S2500(110),https://en.wind-turbine-models.com/turbines/1439-heag-hw3-s2500-110,,HEAG,No,No
blade,0.003,4,4.2,0,,Hi-VAWT DS-3000W,https://en.wind-turbine-models.com/turbines/1044-hi-vawt-ds-3000w,,Hi-VAWT,No,No
